"annio","nombre","categoria","edad","genero"
1962,"Francis Harry Compton Crick","medicine",46,"male"
1962,"James Dewey Watson","medicine",34,"male"
1962,"Maurice Hugh Frederick Wilkins","medicine",46,"male"
1977,"Andrew V. Schally","medicine",51,"male"
1977,"Roger Guillemin","medicine",53,"male"
1967,"George Wald","medicine",61,"male"
1967,"Haldan Keffer Hartline","medicine",64,"male"
1967,"Ragnar Granit","medicine",67,"male"
1985,"Joseph L. Goldstein","medicine",45,"male"
1985,"Michael S. Brown","medicine",44,"male"
1969,"Salvador E. Luria","medicine",57,"male"
1969,"Alfred D. Hershey","medicine",61,"male"
1969,"Max Delbr<f4>ck","medicine",63,"male"
1996,"Peter C. Doherty","medicine",56,"male"
1996,"Rolf M. Zinkernagel","medicine",52,"male"
1974,"Christian de Duve","medicine",57,"male"
1974,"Albert Claude","medicine",76,"male"
1974,"George E. Palade","medicine",62,"male"
1951,"Edwin Mattison McMillan","chemistry",44,"male"
1951,"Glenn Theodore Seaborg","chemistry",39,"male"
1963,"Giulio Natta","chemistry",60,"male"
1963,"Karl Ziegler","chemistry",65,"male"
2014,"John O'Keefe","medicine",75,"male"
2014,"Edvard I. Moser","medicine",52,"male"
1986,"Stanley Cohen","medicine",64,"male"
1988,"Sir James W. Black","medicine",64,"male"
1988,"George H. Hitchings","medicine",83,"male"
2001,"Tim Hunt","medicine",58,"male"
2001,"Sir Paul M. Nurse","medicine",52,"male"
2001,"Leland H. Hartwell","medicine",62,"male"
2013,"Randy W. Schekman","medicine",65,"male"
2013,"James E. Rothman","medicine",63,"male"
2013,"Thomas C. S<f4>dhof","medicine",58,"male"
2004,"Richard Axel","medicine",58,"male"
2007,"Sir Martin J. Evans","medicine",66,"male"
2007,"Oliver Smithies","medicine",82,"male"
2007,"Mario R. Capecchi","medicine",70,"male"
1993,"Richard J. Roberts","medicine",50,"male"
1993,"Phillip A. Sharp","medicine",49,"male"
1932,"Edgar Douglas Adrian","medicine",43,"male"
1932,"Sir Charles Scott Sherrington","medicine",75,"male"
1936,"Otto Loewi","medicine",63,"male"
1936,"Sir Henry Hallett Dale","medicine",61,"male"
1944,"Herbert Spencer Gasser","medicine",56,"male"
1944,"Joseph Erlanger","medicine",70,"male"
1950,"Tadeus Reichstein","medicine",53,"male"
1950,"Edward Calvin Kendall","medicine",64,"male"
1950,"Philip Showalter Hench","medicine",54,"male"
1950,"Kurt Alder","chemistry",48,"male"
1950,"Otto Paul Hermann Diels","chemistry",74,"male"
1998,"Horst L. St_rmer","physics",49,"male"
1998,"Daniel C. Tsui","physics",59,"male"
1998,"Robert B. Laughlin","physics",48,"male"
1989,"Thomas R. Cech","chemistry",42,"male"
1989,"Sidney Altman","chemistry",50,"male"
1978,"Arno Allan Penzias","physics",45,"male"
1978,"Robert Woodrow Wilson","physics",42,"male"
1996,"Sir Harold W. Kroto","chemistry",57,"male"
1996,"Robert F. Curl Jr.","chemistry",63,"male"
1996,"Richard E. Smalley","chemistry",53,"male"
1994,"Alfred G. Gilman","medicine",53,"male"
1994,"Martin Rodbell","medicine",69,"male"
2008,"Luc Montagnier","medicine",76,"male"
2006,"Andrew Z. Fire","medicine",47,"male"
2006,"Craig C. Mello","medicine",46,"male"
1996,"David M. Lee","physics",65,"male"
1996,"Robert C. Richardson","physics",59,"male"
1996,"Douglas D. Osheroff","physics",51,"male"
1954,"Thomas Huckle Weller","medicine",39,"male"
1954,"John Franklin Enders","medicine",57,"male"
1954,"Frederick Chapman Robbins","medicine",38,"male"
1959,"Emilio Gino Segr<U+008F>","physics",54,"male"
1959,"Owen Chamberlain","physics",39,"male"
2005,"Barry J. Marshall","medicine",54,"male"
2005,"J. Robin Warren","medicine",68,"male"
2006,"George F. Smoot","physics",61,"male"
2006,"John C. Mather","physics",60,"male"
1989,"J. Michael Bishop","medicine",53,"male"
1989,"Harold E. Varmus","medicine",50,"male"
1947,"Carl Ferdinand Cori","medicine",51,"male"
1925,"James Franck","physics",43,"male"
1925,"Gustav Ludwig Hertz","physics",38,"male"
1959,"Severo Ochoa","medicine",54,"male"
1959,"Arthur Kornberg","medicine",41,"male"
1958,"Edward Lawrie Tatum","medicine",49,"male"
1958,"George Wells Beadle","medicine",55,"male"
2007,"Albert Arnold (Al) Gore Jr.","peace",59,"male"
2006,"Muhammad Yunus","peace",66,"male"
1994,"Yitzhak Rabin","peace",72,"male"
1994,"Shimon Peres","peace",71,"male"
1994,"Yasser Arafat","peace",65,"male"
1995,"Joseph Rotblat","peace",87,"male"
1998,"John Hume","peace",61,"male"
1998,"David Trimble","peace",54,"male"
2005,"Mohamed ElBaradei","peace",63,"male"
1997,"John E. Walker","chemistry",56,"male"
1997,"Paul D. Boyer","chemistry",79,"male"
2013,"Eugene F. Fama","economics",74,"male"
2013,"Lars Peter Hansen","economics",61,"male"
2013,"Robert J. Shiller","economics",67,"male"
2011,"Thomas J. Sargent","economics",68,"male"
2011,"Christopher A. Sims","economics",69,"male"
1973,"Ivar Giaever","physics",44,"male"
1973,"Leo Esaki","physics",48,"male"
1937,"George Paget Thomson","physics",45,"male"
1937,"Clinton Joseph Davisson","physics",56,"male"
1996,"James A. Mirrlees","economics",60,"male"
1996,"William Vickrey","economics",82,"male"
1977,"Sir Nevill Francis Mott","physics",72,"male"
1977,"John Hasbrouck van Vleck","physics",78,"male"
1977,"Philip Warren Anderson","physics",54,"male"
1965,"Julian Schwinger","physics",47,"male"
1965,"Richard P. Feynman","physics",47,"male"
1965,"Sin-Itiro Tomonaga","physics",59,"male"
1987,"J. Georg Bednorz","physics",37,"male"
1987,"K. Alexander M<f4>ller","physics",60,"male"
1968,"Marshall W. Nirenberg","medicine",41,"male"
1968,"Robert W. Holley","medicine",46,"male"
1968,"Har Gobind Khorana","medicine",46,"male"
1952,"Richard Laurence Millington Synge","chemistry",38,"male"
1952,"Archer John Porter Martin","chemistry",42,"male"
1929,"Arthur Harden","chemistry",64,"male"
1929,"Hans Karl August Simon von Euler-Chelpin","chemistry",56,"male"
1972,"John Robert Schrieffer","physics",41,"male"
1972,"Leon Neil Cooper","physics",42,"male"
1972,"John Bardeen","physics",64,"male"
1985,"Herbert A. Hauptman","chemistry",68,"male"
1985,"Jerome Karle","chemistry",67,"male"
1977,"James E. Meade","economics",70,"male"
1977,"Bertil Ohlin","economics",78,"male"
1957,"Tsung-Dao (T.D.) Lee","physics",31,"male"
1957,"Chen Ning Yang","physics",35,"male"
1951,"Ernest Thomas Sinton Walton","physics",48,"male"
1951,"Sir John Douglas Cockcroft","physics",54,"male"
1994,"John C. Harsanyi","economics",74,"male"
1994,"Reinhard Selten","economics",64,"male"
1994,"John F. Nash Jr.","economics",66,"male"
1972,"Kenneth J. Arrow","economics",51,"male"
1972,"John R. Hicks","economics",68,"male"
1990,"Jerome I. Friedman","physics",60,"male"
1990,"Henry W. Kendall","physics",64,"male"
1990,"Richard E. Taylor","physics",61,"male"
1974,"Sir Martin Ryle","physics",56,"male"
1974,"Antony Hewish","physics",50,"male"
1979,"Theodore W. Schultz","economics",77,"male"
1979,"Sir Arthur Lewis","economics",64,"male"
1976,"Samuel Chao Chung Ting","physics",40,"male"
1976,"Burton Richter","physics",45,"male"
1990,"Merton H. Miller","economics",67,"male"
1990,"Harry M. Markowitz","economics",63,"male"
1990,"William F. Sharpe","economics",56,"male"
1974,"Gunnar Myrdal","economics",76,"male"
1974,"Friedrich August von Hayek","economics",75,"male"
1973,"Geoffrey Wilkinson","chemistry",52,"male"
1973,"Ernst Otto Fischer","chemistry",55,"male"
1946,"Wendell Meredith Stanley","chemistry",42,"male"
1946,"John Howard Northrop","chemistry",55,"male"
1956,"Nikolay Nikolaevich Semenov","chemistry",60,"male"
1956,"Sir Cyril Norman Hinshelwood","chemistry",59,"male"
1956,"William Bradford Shockley","physics",46,"male"
1956,"Walter Houser Brattain","physics",54,"male"
1956,"John Bardeen","physics",48,"male"
1915,"Sir William Henry Bragg","physics",53,"male"
1915,"William Lawrence Bragg","physics",25,"male"
2014,"Kailash Satyarthi","peace",60,"male"
1967,"Ronald George Wreyford Norrish","chemistry",70,"male"
1967,"Manfred Eigen","chemistry",40,"male"
1967,"George Porter","chemistry",47,"male"
1962,"Max Ferdinand Perutz","chemistry",48,"male"
1962,"John Cowdery Kendrew","chemistry",45,"male"
1981,"Roald Hoffmann","chemistry",44,"male"
1981,"Kenichi Fukui","chemistry",63,"male"
2001,"Kofi Annan","peace",63,"male"
1993,"Frederik Willem de Klerk","peace",57,"male"
1993,"Nelson Mandela","peace",75,"male"
1995,"Mario J. Molina","chemistry",52,"male"
1995,"F. Sherwood Rowland","chemistry",68,"male"
1995,"Paul J. Crutzen","chemistry",62,"male"
2001,"Ryoji Noyori","chemistry",63,"male"
2001,"William S. Knowles","chemistry",84,"male"
1996,"Carlos Filipe Ximenes Belo","peace",48,"male"
1996,"Jos_ Ramos-Horta","peace",47,"male"
1984,"Georges J.F. K_hler","medicine",38,"male"
1984,"Niels K. Jerne","medicine",73,"male"
1984,"C_sar Milstein","medicine",57,"male"
1995,"Seamus Heaney","literature",56,"male"
2002,"Imre Kert_sz","literature",73,"male"
1981,"Elias Canetti","literature",76,"male"
1974,"Harry Martinson","literature",70,"male"
1911,"Count Maurice (Mooris) Polidore Marie Bernhard Maeterlinck","literature",49,"male"
1907,"Rudyard Kipling","literature",42,"male"
1914,"Theodore William Richards","chemistry",46,"male"
1921,"Anatole France","literature",77,"male"
1903,"Niels Ryberg Finsen","medicine",43,"male"
1908,"Rudolf Christoph Eucken","literature",62,"male"
1927,"Henri Bergson","literature",68,"male"
1905,"Johann Friedrich Wilhelm Adolf von Baeyer","chemistry",70,"male"
1904,"Sir William Ramsay","chemistry",52,"male"
1910,"Otto Wallach","chemistry",63,"male"
1916,"Carl Gustaf Verner von Heidenstam","literature",57,"male"
1950,"Earl (Bertrand Arthur William) Russell","literature",78,"male"
1920,"Walther Hermann Nernst","chemistry",56,"male"
1913,"Charles Robert Richet","medicine",63,"male"
1909,"Wilhelm Ostwald","chemistry",56,"male"
1913,"Alfred Werner","chemistry",47,"male"
1904,"Ivan Petrovich Pavlov","medicine",55,"male"
1907,"Charles Louis Alphonse Laveran","medicine",62,"male"
1912,"Alexis Carrel","medicine",39,"male"
1910,"Albrecht Kossel","medicine",57,"male"
1902,"Pieter Zeeman","physics",37,"male"
1902,"Hendrik Antoon Lorentz","physics",49,"male"
1903,"Antoine Henri Becquerel","physics",51,"male"
1902,"Hermann Emil Fischer","chemistry",50,"male"
1901,"Jacobus Henricus van 't Hoff","chemistry",49,"male"
1901,"Wilhelm Conrad R_ntgen","physics",56,"male"
1903,"Svante August Arrhenius","chemistry",44,"male"
1903,"Pierre Curie","physics",44,"male"
1904,"Fr_d_ric Mistral","literature",74,"male"
1906,"Joseph John Thomson","physics",50,"male"
1906,"Henri Moissan","chemistry",54,"male"
1904,"Jos_ Echegaray y Eizaguirre","literature",72,"male"
1920,"Charles Edouard Guillaume","physics",59,"male"
1918,"Max Karl Ernst Ludwig Planck","physics",60,"male"
1909,"Guglielmo Marconi","physics",35,"male"
1909,"Karl Ferdinand Braun","physics",59,"male"
1931,"Carl Bosch","chemistry",57,"male"
1931,"Friedrich Bergius","chemistry",47,"male"
1935,"Fr_d_ric Joliot","chemistry",35,"male"
1908,"Paul Ehrlich","medicine",54,"male"
1908,"Ilya Ilyich Mechnikov","medicine",63,"male"
1906,"Santiago Ram<U+0084>n y Cajal","medicine",54,"male"
1906,"Camillo Golgi","medicine",63,"male"
1919,"Carl Friedrich Georg Spitteler","literature",74,"male"
1901,"Sully Prudhomme","literature",62,"male"
1906,"Giosu<U+008F> Carducci","literature",71,"male"
1912,"Gerhart Johann Robert Hauptmann","literature",50,"male"
1929,"Thomas Mann","literature",54,"male"
1902,"Christian Matthias Theodor Mommsen","literature",85,"male"
1931,"Erik Axel Karlfeldt","literature",67,"male"
1997,"Dario Fo","literature",71,"male"
1986,"Wole Soyinka","literature",52,"male"
1985,"Claude Simon","literature",72,"male"
2005,"Harold Pinter","literature",75,"male"
2003,"John M. Coetzee","literature",63,"male"
2006,"Orhan Pamuk","literature",54,"male"
2012,"Mo Yan","literature",57,"male"
1998,"Jos_ Saramago","literature",76,"male"
1994,"Kenzaburo Oe","literature",59,"male"
1980,"Czeslaw Milosz","literature",69,"male"
1988,"Naguib Mahfouz","literature",77,"male"
1999,"G<f4>nter Grass","literature",72,"male"
1950,"Ralph Bunche","peace",46,"male"
1931,"Nicholas Murray Butler","peace",69,"male"
1907,"Louis Renault","peace",64,"male"
1962,"Linus Carl Pauling","peace",61,"male"
1984,"Desmond Mpilo Tutu","peace",53,"male"
1980,"Adolfo P_rez Esquivel","peace",49,"male"
1989,"The 14th Dalai Lama (Tenzin Gyatso) NA","peace",54,"male"
1983,"Lech Walesa","peace",40,"male"
1974,"Eisaku Sato","peace",73,"male"
1974,"Se<U+0088>n MacBride","peace",70,"male"
1961,"Dag Hjalmar Agne Carl Hammarskj_ld","peace",56,"male"
1958,"Georges Pire","peace",48,"male"
1982,"Alfonso Garc<cd>a Robles","peace",71,"male"
1973,"Le Duc Tho NA","peace",62,"male"
1978,"Menachem Begin","peace",65,"male"
1971,"Willy Brandt","peace",58,"male"
1970,"Norman E. Borlaug","peace",56,"male"
1978,"Mohamed Anwar al-Sadat","peace",60,"male"
1975,"Andrei Dmitrievich Sakharov","peace",54,"male"
1973,"Henry A. Kissinger","peace",50,"male"
1986,"Elie Wiesel","peace",58,"male"
1964,"Martin Luther King Jr.","peace",35,"male"
1901,"Fr_d_ric Passy","peace",79,"male"
1903,"William Randal Cremer","peace",75,"male"
1901,"Jean Henry Dunant","peace",73,"male"
1909,"Auguste Marie Fran<U+008D>ois Beernaert","peace",80,"male"
1902,"<U+0080>lie Ducommun","peace",69,"male"
1907,"Ernesto Teodoro Moneta","peace",74,"male"
1908,"Fredrik Bajer","peace",71,"male"
1911,"Tobias Michael Carel Asser","peace",73,"male"
1927,"Ferdinand Buisson","peace",86,"male"
1902,"Charles Albert Gobat","peace",59,"male"
1908,"Klas Pontus Arnoldson","peace",64,"male"
1912,"Elihu Root","peace",67,"male"
1920,"L_on Victor Auguste Bourgeois","peace",69,"male"
1909,"Paul Henri Benjamin Balluet d'Estournelles de Constant, Baron de Constant de Rebecque","peace",57,"male"
1913,"Henri La Fontaine","peace",59,"male"
1929,"Frank Billings Kellogg","peace",73,"male"
1919,"Thomas Woodrow Wilson","peace",63,"male"
1927,"Ludwig Quidde","peace",69,"male"
1906,"Theodore Roosevelt","peace",48,"male"
1921,"Karl Hjalmar Branting","peace",61,"male"
1922,"Fridtjof Nansen","peace",61,"male"
1926,"Aristide Briand","peace",64,"male"
1934,"Arthur Henderson","peace",71,"male"
1925,"Sir Austen Chamberlain","peace",62,"male"
1937,"Cecil of Chelwood, Viscount (Lord Edgar Algernon Robert Gascoyne Cecil)","peace",73,"male"
1911,"Alfred Hermann Fried","peace",47,"male"
1946,"John Raleigh Mott","peace",81,"male"
1925,"Charles Gates Dawes","peace",60,"male"
1930,"Lars Olof Jonathan (Nathan) S_derblom","peace",64,"male"
1921,"Christian Lous Lange","peace",52,"male"
1945,"Cordell Hull","peace",74,"male"
1933,"Sir Norman Angell (Ralph Lane)","peace",61,"male"
1952,"Albert Schweitzer","peace",77,"male"
1926,"Gustav Stresemann","peace",48,"male"
1936,"Carlos Saavedra Lamas","peace",58,"male"
1951,"L_on Jouhaux","peace",72,"male"
1949,"Lord (John) Boyd Orr of Brechin","peace",69,"male"
1953,"George Catlett Marshall","peace",73,"male"
1968,"Ren_ Cassin","peace",81,"male"
1935,"Carl von Ossietzky","peace",46,"male"
1959,"Philip J. Noel-Baker","peace",70,"male"
1957,"Lester Bowles Pearson","peace",60,"male"
1960,"Albert John Lutuli","peace",62,"male"
