"country","2019","2020","co2_change_per_capita"
"Syria",1.816,1.745,-0.071
"Hungary",5.068,4.997,-0.0709999999999997
"Benin",0.62,0.553,-0.0669999999999999
"Senegal",0.691,0.624,-0.0669999999999999
"French Guiana",2.504,2.439,-0.0649999999999999
"Angola",0.738,0.675,-0.0629999999999999
"Comoros",0.359,0.297,-0.062
"Eswatini",0.882,0.824,-0.0580000000000001
"Djibouti",0.413,0.356,-0.057
"Maldives",3.379,3.324,-0.0550000000000002
"Jordan",2.549,2.498,-0.0509999999999997
"Kenya",0.349,0.3,-0.049
"Congo",0.612,0.565,-0.047
"Colombia",1.796,1.751,-0.0450000000000002
"Palau",12.169,12.125,-0.0440000000000005
"Ghana",0.556,0.515,-0.041
"Zimbabwe",0.748,0.709,-0.039
"Oman",12.212,12.173,-0.0389999999999997
"Nigeria",0.647,0.609,-0.038
"Zambia",0.395,0.358,-0.037
"Haiti",0.292,0.256,-0.036
"Eritrea",0.239,0.204,-0.035
"Guinea",0.291,0.258,-0.033
"Palestine",0.599,0.568,-0.031
"Bhutan",2.526,2.495,-0.0309999999999997
"Mozambique",0.24,0.21,-0.03
"Mayotte",1.148,1.12,-0.0279999999999998
"Nauru",5.263,5.236,-0.0270000000000001
"Gambia",0.233,0.207,-0.026
"Cameroon",0.286,0.26,-0.026
"Cote d'Ivoire",0.408,0.382,-0.026
"Tanzania",0.208,0.183,-0.025
"Burkina Faso",0.213,0.19,-0.023
"Uganda",0.129,0.107,-0.022
"Liberia",0.222,0.2,-0.022
"South Sudan",0.126,0.105,-0.021
"Mali",0.188,0.167,-0.021
"Togo",0.285,0.265,-0.02
"Pakistan",1.082,1.063,-0.0190000000000001
"Guinea-Bissau",0.164,0.146,-0.018
"Ethiopia",0.146,0.128,-0.018
"Madagascar",0.15,0.133,-0.017
"Yemen",0.344,0.328,-0.016
"Bangladesh",0.578,0.564,-0.014
"Rwanda",0.094,0.08,-0.014
"Marshall Islands",2.57,2.556,-0.0139999999999998
"French Polynesia",2.962,2.949,-0.0130000000000003
"Cambodia",0.93,0.917,-0.013
"Vanuatu",0.604,0.591,-0.013
"Sierra Leone",0.123,0.11,-0.013
"Tonga",1.373,1.36,-0.0129999999999999
"Malawi",0.085,0.073,-0.012
"Nepal",0.593,0.582,-0.011
"Fiji",1.564,1.554,-0.01
"Papua New Guinea",0.754,0.744,-0.01
"Solomon Islands",0.445,0.435,-0.01
"Burundi",0.061,0.051,-0.01
"Niger",0.08,0.07,-0.01
"Kiribati",0.578,0.57,-0.00800000000000001
"Niue",7.02,7.012,-0.00800000000000001
"North Korea",1.145,1.137,-0.00800000000000001
"Somalia",0.043,0.035,-0.00799999999999999
"Afghanistan",0.319,0.312,-0.00700000000000001
"Timor",0.406,0.399,-0.00700000000000001
"Chad",0.063,0.056,-0.007
"Samoa",1.246,1.239,-0.0069999999999999
"Tuvalu",0.648,0.642,-0.00600000000000001
"Central African Republic",0.044,0.039,-0.005
"Dominican Republic",2.563,2.56,-0.00300000000000011
"Democratic Republic of Congo",0.031,0.028,-0.003
"Guadeloupe",6.404,6.403,-0.00100000000000033
"Myanmar",0.667,0.668,0.001
"Moldova",1.275,1.276,0.00100000000000011
"Cook Islands",4.52,4.522,0.00200000000000067
"Martinique",6.253,6.258,0.00499999999999989
"Lithuania",5.045,5.069,0.024
"Iran",8.845,8.87,0.0249999999999986
"Kyrgyzstan",1.717,1.764,0.0469999999999999
"Tajikistan",0.926,0.991,0.0649999999999999
"China",7.316,7.412,0.0960000000000001
"Armenia",1.869,1.988,0.119
"Brunei",22.982,23.22,0.238
